Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y
Adobe Inc.,ADBE,361.03,446.3958922861056,0.2364509660862133,0.006879704354492612,0.35941863565917465
Advanced Micro Devices,AMD,166.55,56.17838029224878,-0.6626936037691458,0.26398771290889134,0.5067387985373684
Airbnb,ABNB,126.0,367.5332150936846,1.9169302785213065,0.08491084431181858,0.4832515432320766
Alphabet Inc.,GOOGL,201.57,267.82376917893964,0.3286886400701476,0.23466078358532205,0.3101205324229742
Alphabet Inc.,GOOG,202.49,267.8251171886487,0.3226584877705005,0.23456945001824508,0.3089351322108425
Amazon,AMZN,228.01,31.12918592617877,-0.8634744707417272,0.12491386488822212,0.35432996371208086
American Electric Power,AEP,112.66,,,0.09282120544349923,0.2005064901236444
Amgen,AMGN,295.55,840.7792615186637,1.844795335877732,0.07199307550242566,0.234961950488581
Analog Devices,ADI,230.44,243.91365133245253,0.0584692385542984,0.20294626579726807,0.32608746824589435
Apple Inc.,AAPL,230.56,173.77669714118954,-0.2462842767991432,0.1628710868844859,0.29319241548989095
Applied Materials,AMAT,162.215,144.156286775192,-0.1113257912326727,0.28522020272067633,0.4339839376548318
AppLovin,APP,412.6,84.0014966126283,-0.7964093635176241,0.7190559066600252,0.7818932262816339
Arm Holdings,ARM,134.01,10.0709254342952,-0.9248494482927004,0.6863711419201286,0.7762236506352849
ASML Holding,ASML,743.61,750.7543171041926,0.0096076130016979,0.22658008092061485,0.4141629604700967
AstraZeneca,AZN,79.54,84.86429371860321,0.0669385682499774,0.10306129780413743,0.2404703154289999
Atlassian,TEAM,166.21,260.975382676545,0.5701545194425424,0.16233859019483804,0.5681710628750262
Autodesk,ADSK,289.24,201.18214803768095,-0.3044456228817557,0.09185132049720976,0.35011009900964457
Automatic Data Processing,ADP,305.72,334.0319225471775,0.0926073614653193,0.18551599860317536,0.21681447173320254
Axon Enterprise,AXON,758.29,87.70008137258287,-0.8843449321861255,0.5531568009010959,0.46620435513844927
Baker Hughes,BKR,42.95,53.80246904372341,0.2526768112624775,0.2726916611310475,0.3683112826733572
Biogen,BIIB,138.86,354.6175476323975,1.5537775286792268,-0.04894306796750901,0.44315845756817807
Booking Holdings,BKNG,5584.08,10970.897631554026,0.9646741507202664,0.2871305937386003,0.3331393355242518
Broadcom,AVGO,294.91,200.74116630105115,-0.3193138031906306,0.5201419717569564,0.4082991664594013
Cadence Design Systems,CDNS,346.88,196.3123546569245,-0.434062630716892,0.29228049031835124,0.3562505931295399
CDW Corporation,CDW,167.58,139.00403361189353,-0.170521341377888,0.12156238127357014,0.2811521649900393
Charter Communications,CHTR,267.01,441.9743979244552,0.6552728284500777,-0.10283921347352518,0.3573682406417228
Cintas,CTAS,216.43,118.67502017012286,-0.4516701928100408,0.22817694558160623,0.2369444222813152
Cisco,CSCO,66.76,64.25900505508812,-0.0374624767062894,0.11903962891690803,0.22740154449305452
Coca-Cola Europacific Partners,CCEP,90.4,,,0.2053742065510697,0.2557117879224111
Cognizant,CTSH,70.86,110.90126492320076,0.5650757115890597,0.04757080259304022,0.25766069388190616
Comcast,CMCSA,33.89,,,-0.01730775438763883,0.261634255555772
Constellation Energy,CEG,317.24,,,0.6855347914402711,0.4954976794362156
Copart,CPRT,47.81,36.64627137367082,-0.2335019583001293,0.16204021309958583,0.26046850650101055
CoStar Group,CSGP,88.95,52.00757242667869,-0.4153167799136741,0.06504067200127164,0.3273785106022577
Costco,COST,980.85,432.2170274030824,-0.559344418205554,0.23877330858327453,0.22602709174362567
CrowdStrike,CRWD,418.6,385.1648462398832,-0.0798737548019992,0.40175681413340786,0.522568092964985
CSX Corporation,CSX,36.52,33.33300851550504,-0.0872670176477261,0.10320689228304938,0.23525390510257907
Datadog,DDOG,128.99,151.21511244971268,0.1723010500791741,0.23444544588500288,0.5586511508570077
DexCom,DXCM,80.9,32.24505846650807,-0.6014207853336456,0.0628883287709728,0.47069878074765453
Diamondback Energy,FANG,138.96,,,0.35672554130545403,0.45986327159503604
DoorDash,DASH,248.37,103.16472454724428,-0.5846329083736188,0.22522370742390432,0.5866140482482105
Electronic Arts,EA,170.68,294.2426581781611,0.7239433921851481,0.07049886887464554,0.2498486231401426
Exelon,EXC,44.74,,,0.13230627885227386,0.2137218885704149
Fastenal,FAST,49.9,25.201828953557357,-0.494953327584021,0.17260161767004958,0.24193134754914425
Fortinet,FTNT,78.09,127.47324711889895,0.6323888733371619,0.3177593725845042,0.43230160237906634
GE HealthCare,GEHC,73.97,61.92023051567149,-0.1629007636113087,0.13158279385186716,0.32499913836977473
Gilead Sciences,GILD,117.98,247.99301004220945,1.1019919481455285,0.14376662408987614,0.2344205485309858
GlobalFoundries,GFS,33.22,16.636159359876064,-0.4992125418459944,0.033194122171662496,0.4987805006678334
