Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight
Adobe Inc.,ADBE,353.43,500.0,0.4147072970602381,134,0.0104873864171776,0.3594309798852366,1.454772162841887e-11
Advanced Micro Devices,AMD,163.71,193.46,0.1817237798546209,164,0.2686827649765564,0.5066491633445783,3.3849986402117534e-11
Airbnb,ABNB,126.43,124.0,-0.0192201218065333,115,0.0931813339832151,0.483034447253591,0.0
Alphabet Inc.,GOOGL,199.75,187.0,-0.0638297872340425,162,0.2400567760462923,0.3102960253712412,0.0
Alphabet Inc.,GOOG,200.62,199.0,-0.0080749676004386,70,0.2399281971095504,0.3090895550876713,0.0
Amazon,AMZN,221.95,255.63,0.1517458887136742,252,0.1279974095365226,0.3544636512363129,0.0
American Electric Power,AEP,113.14,115.0,0.0164398090860879,33,0.0892674379719843,0.2002379695922515,0.0
Amgen,AMGN,295.76,304.67,0.0301257776575603,56,0.0718324261912075,0.2348586176251611,0.0
Analog Devices,ADI,246.95,236.33,-0.0430046568131199,57,0.206664839779273,0.3260759555674385,0.0
Apple Inc.,AAPL,224.9,225.0,0.0004446420631392,188,0.1619030014630503,0.2930919805666431,4.2118808222232356e-12
Applied Materials,AMAT,159.84,187.83,0.1751126126126125,92,0.2821845824258087,0.4337642492857813,2.5306975230443665e-11
AppLovin,APP,418.76,458.63,0.0952096666348265,48,0.7339127108023863,0.781597541159132,1.9356794112923055e-11
Arm Holdings,ARM,133.28,200.0,0.5006002400960383,29,0.7100279666758353,0.7750234699176827,0.017672748599275204
ASML Holding,ASML,735.4,800.0,0.0878433505575198,9,0.2247788380674648,0.4141973004895733,9.532941556350626e-12
AstraZeneca,AZN,80.46,97.0,0.2055679840914741,9,0.1003177747618886,0.2402474575133458,0.0
Atlassian,TEAM,164.59,253.29,0.5389148793972902,57,0.1646507098639837,0.5681838385136229,0.0
Autodesk,ADSK,286.06,348.83,0.2194294903167166,79,0.0900622906601829,0.3499980117057826,3.0116020400435167e-11
Automatic Data Processing,ADP,304.94,315.0,0.032990096412409,14,0.1809408107470055,0.2167076360579761,2.4899680330571987e-11
Axon Enterprise,AXON,763.51,839.43,0.099435501827088,16,0.5525697945110977,0.4660125299761131,0.0
Baker Hughes,BKR,43.46,51.75,0.1907501150483201,37,0.2753607922568298,0.3682137601434655,0.0
Biogen,BIIB,139.12,180.75,0.299238067855089,89,-0.0480724219993385,0.4429819474439231,0.0
Booking Holdings,BKNG,5710.74,5407.4,-0.0531174593835475,75,0.2835699318212641,0.332777827834742,1.3245222308694325e-11
Broadcom,AVGO,289.6,287.17,-0.0083908839779005,88,0.51926169129774,0.4081675533803968,0.0
Cadence Design Systems,CDNS,347.57,351.67,0.0117961849411629,28,0.2931805965081924,0.3561141049713602,1.955463944253989e-11
CDW Corporation,CDW,164.18,232.8,0.417955902058716,5,0.119570747811104,0.2812068155596218,2.7045291685915168e-11
Charter Communications,CHTR,267.98,404.17,0.5082095678781999,48,-0.0940720864519277,0.3576018323366687,9.94984016553278e-12
Cintas,CTAS,216.11,228.5,0.0573319143029011,48,0.2238290926868087,0.2367703044977792,4.5917065326065835e-11
Cisco,CSCO,67.02,72.33,0.0792300805729633,75,0.1199069946818454,0.2273173853209673,0.0
Coca-Cola Europacific Partners,CCEP,91.19,98.0,0.0746792411448624,14,0.1908015387560687,0.2548501379400706,0.0
Cognizant,CTSH,71.08,79.0,0.1114237478897017,37,0.0470525950156687,0.2573880008702495,7.713043432292353e-12
Comcast,CMCSA,33.6,43.0,0.2797619047619046,48,-0.0155406054158864,0.261556242317171,0.0
